task,id,supporting_rank,rank_bucket,primary_score
qasper,99e78c390932594bd833be0f5c890af5c605d808,3,2-3,11.764700
qasper,861187338c5ad445b9acddba8f2c7688785667b1,miss,miss,40.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_0,67,11+,40.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_1,1,1,0.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_2,29,11+,0.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_3,miss,miss,0.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_4,18,11+,0.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_5,1,1,100.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_6,miss,miss,0.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_7,miss,miss,0.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_8,46,11+,6.896600
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_9,miss,miss,6.896600
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_10,5,4-5,100.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_11,1,1,0.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_12,miss,miss,0.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_13,12,11+,0.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_14,miss,miss,50.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_15,miss,miss,17.647100
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_16,miss,miss,0.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_17,17,11+,0.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_18,miss,miss,0.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_19,miss,miss,0.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_20,1,1,0.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_21,6,6-10,100.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_22,miss,miss,6.896600
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_23,miss,miss,0.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_24,114,11+,0.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_25,miss,miss,0.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_26,45,11+,0.000000
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_27,miss,miss,17.647100
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_28,miss,miss,10.526300
narrative_qa,8cb9a3afd8d542c798c3a34fd1a9afa0a77931c2_29,miss,miss,66.666700
narrative_qa,b7ea3185c6be5ea8d603fe5c4c54268c8b42605a_0,miss,miss,57.142900
narrative_qa,b7ea3185c6be5ea8d603fe5c4c54268c8b42605a_1,miss,miss,11.428600
narrative_qa,b7ea3185c6be5ea8d603fe5c4c54268c8b42605a_2,miss,miss,18.181800
narrative_qa,b7ea3185c6be5ea8d603fe5c4c54268c8b42605a_3,4,4-5,0.000000
narrative_qa,b7ea3185c6be5ea8d603fe5c4c54268c8b42605a_4,miss,miss,0.000000
narrative_qa,b7ea3185c6be5ea8d603fe5c4c54268c8b42605a_5,miss,miss,0.000000
narrative_qa,b7ea3185c6be5ea8d603fe5c4c54268c8b42605a_6,18,11+,0.000000
narrative_qa,b7ea3185c6be5ea8d603fe5c4c54268c8b42605a_7,miss,miss,33.333300
narrative_qa,b7ea3185c6be5ea8d603fe5c4c54268c8b42605a_8,miss,miss,0.000000
narrative_qa,b7ea3185c6be5ea8d603fe5c4c54268c8b42605a_9,miss,miss,50.000000
narrative_qa,b7ea3185c6be5ea8d603fe5c4c54268c8b42605a_10,miss,miss,72.727300
narrative_qa,b7ea3185c6be5ea8d603fe5c4c54268c8b42605a_11,3,2-3,100.000000
narrative_qa,b7ea3185c6be5ea8d603fe5c4c54268c8b42605a_12,4,4-5,100.000000
narrative_qa,b7ea3185c6be5ea8d603fe5c4c54268c8b42605a_13,miss,miss,0.000000
narrative_qa,b7ea3185c6be5ea8d603fe5c4c54268c8b42605a_14,miss,miss,0.000000
